latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
26.80431,67.95325,333.62,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,296.76,5.5,D
26.90294,68.00011,329.67,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.02,2.94,D
27.17408,68.36517,329.27,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.3,2.07,D
27.294,68.27096,329.02,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,292.84,5.2,D
27.58358,69.39632,332.35,0.38,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,298.11,2.26,D
27.55852,68.42731,344.57,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.22,3.13,D
27.56184,68.42663,335.88,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.28,3.13,D
27.60266,68.48777,333.7,0.39,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295,3.94,D
28.02002,69.31508,326.78,0.38,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.52,2.02,D
28.26593,69.85806,329.97,0.38,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.98,3.32,D
28.34173,69.79597,328.77,0.38,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,292.67,1.7,D
28.35817,69.79281,330.92,0.38,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.34,1.37,D
28.4915,69.97958,332.32,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,292.33,1.55,D
28.57184,70.15309,334.36,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.04,2.49,D
28.76281,70.5553,334.52,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.12,3.59,D
28.76682,70.3023,329.88,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,292.92,1.47,D
28.90778,70.83336,330,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,296.6,2.97,D
28.87573,70.60868,332.02,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,296.2,9.8,D
28.88703,70.35748,329.68,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,292.08,1.54,D
29.06575,71.06342,330.53,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.32,4.7,D
29.2035,71.37453,330.6,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,292.17,2.26,D
29.87211,72.78324,330.3,0.46,0.39,2026-01-03,0828,N20,VIIRS,n,2.0NRT,291.27,5.05,D
30.04654,70.92453,329.47,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,290.62,2.52,D
30.12336,70.9967,341.41,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.38,8.7,D
30.23078,70.93885,329.95,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,291.16,1.97,D
30.37968,71.00703,333.35,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,292.15,3.16,D
31.44262,70.98386,341.35,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.98,11.4,D
31.72999,72.85023,328.23,0.49,0.4,2026-01-03,0828,N20,VIIRS,n,2.0NRT,289.63,2,D
31.7285,72.84829,330.73,0.49,0.4,2026-01-03,0828,N20,VIIRS,n,2.0NRT,289.75,3.63,D
31.58458,70.99932,334.52,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.22,6.19,D
31.62744,71.14033,340.71,0.42,0.38,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.7,9.81,D
26.16735,68.40148,330.33,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,296.01,1.63,D
24.29384,69.40782,339.47,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,305.4,3.46,D
24.87131,68.45868,332.22,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,301.01,4.25,D
24.84504,68.21667,329.84,0.42,0.38,2026-01-03,0828,N20,VIIRS,n,2.0NRT,298.02,1.13,D
25.04238,68.60278,331.33,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,299.39,3.13,D
25.04859,68.52741,334.75,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,299.33,2.58,D
25.35903,69.15215,346.73,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,300.87,9.96,D
25.3419,68.79342,331.69,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,298.47,2.76,D
25.54561,68.55785,339.15,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,300.89,13.47,D
25.62512,68.94037,330.67,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,296.6,1.21,D
25.64075,68.97349,332.35,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,300.14,2.97,D
25.64012,68.96959,329.58,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,298.78,2.97,D
25.57195,68.47811,330.9,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,296.33,3.89,D
32.2902,70.40262,328.97,0.4,0.37,2026-01-03,0830,N20,VIIRS,n,2.0NRT,292.49,1.72,D
32.95095,72.56023,336.54,0.49,0.4,2026-01-03,0830,N20,VIIRS,n,2.0NRT,292.86,7.44,D
32.99999,72.47614,334.8,0.48,0.4,2026-01-03,0830,N20,VIIRS,n,2.0NRT,293.9,3.15,D
33.07466,72.8231,337.62,0.5,0.41,2026-01-03,0830,N20,VIIRS,n,2.0NRT,293.15,8.05,D
33.25297,71.82903,338.08,0.46,0.39,2026-01-03,0830,N20,VIIRS,n,2.0NRT,298,23.09,D
